source,target,genres
Lluc,Kashlo,[]
Lluc,Martigo,['trap triste']
Lluc,xicu,"['indie catala', 'musica catalana']"
Lluc,Caldo,[]
Lluc,Flashy Ice Cream,"['rap catala', 'trap catala']"
Lluc,Ariox,"['indie catala', 'musica catalana']"
Lluc,Will.X.O,[]
Lluc,Noxtorn,['trap catala']
Lluc,Calagher,[]
Ven'nus,La Ludwig Band,"['indie catala', 'rock catala']"
La Ludwig Band,Guillem Gisbert,['indie catala']
La Ludwig Band,Maria Jaume,"['indie catala', 'rock catala']"
La Ludwig Band,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
La Ludwig Band,Socunbohemio,['indie catala']
La Ludwig Band,Guillem Ramisa,"['cantautor catala', 'indie catala', 'rock catala']"
La Ludwig Band,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
La Ludwig Band,Fetus,"['indie catala', 'punk catala', 'rock catala']"
La Ludwig Band,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
La Ludwig Band,Pau Vallvé,"['cantautor catala', 'indie catala', 'rock catala']"
La Ludwig Band,Renaldo & Clara,"['indie catala', 'rock catala']"
La Ludwig Band,La iaia,"['indie catala', 'rock catala']"
La Ludwig Band,Reïna,['indie catala']
La Ludwig Band,Ven'nus,"['indie catala', 'musica catalana']"
La Ludwig Band,Dan Peralbo i El Comboi,['indie catala']
La Ludwig Band,MARIA HEIN,['indie catala']
La Ludwig Band,Remei de Ca la Fresca,['indie catala']
La Ludwig Band,Ginestà,"['cantautor catala', 'indie catala', 'musica catalana', 'rock catala']"
La Ludwig Band,Joan Miquel Oliver,"['cantautor', 'cantautor catala', 'indie catala', 'musica mallorquina', 'rock catala']"
La Ludwig Band,Anna Andreu,['indie catala']
La Ludwig Band,Mishima,"['indie catala', 'rock catala']"
Ven'nus,Ginestà,"['cantautor catala', 'indie catala', 'musica catalana', 'rock catala']"
Ginestà,Maio,['musica catalana']
Ginestà,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Ginestà,Ven'nus,"['indie catala', 'musica catalana']"
Ginestà,MARIA HEIN,['indie catala']
Ginestà,Socunbohemio,['indie catala']
Ginestà,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Ginestà,Maria Jaume,"['indie catala', 'rock catala']"
Ginestà,Figa Flawas,['musica catalana']
Ginestà,Ariox,"['indie catala', 'musica catalana']"
Ginestà,Julieta,['musica catalana']
Ginestà,xicu,"['indie catala', 'musica catalana']"
Ginestà,Roba Estesa,"['indie catala', 'musica catalana', 'rock catala']"
Ginestà,Joan Dausà,"['cantautor catala', 'indie catala', 'rock catala']"
Ginestà,Sexenni,['musica catalana']
Ginestà,Vienna,"['indie catala', 'musica catalana']"
Ginestà,La Fúmiga,"['indie valenciana', 'musica catalana', 'ska catala']"
Ginestà,Iglú,"['indie catala', 'musica catalana']"
Ginestà,Xavi Sarrià,"['cantautor catala', 'musica valenciana', 'rock catala', 'ska catala']"
Ginestà,Pau Vallvé,"['cantautor catala', 'indie catala', 'rock catala']"
Ginestà,Guillem Gisbert,['indie catala']
